"date Y-m-d m:s";gas adc;LPG PPM;Theoretical Warmup;Warmup End;Curve: Power-law (3)
2025-07-02 22:37:16;132.41;5.264927189568164;122;;
2025-07-02 22:37:46;132.53;5.276597064353786;122;;
2025-07-02 22:38:16;132.36;5.260069710368519;122;;
2025-07-02 22:38:46;132.25;5.249393537383401;122;;
2025-07-02 22:39:16;132.22;5.246484306234173;122;;
2025-07-02 22:39:46;132.05;5.2300185013794485;122;;
2025-07-02 22:40:16;132.05;5.2300185013794485;122;;
2025-07-02 22:40:46;132;5.2251820321317926;122;;
2025-07-02 22:41:16;132;5.2251820321317926;122;;
2025-07-02 22:41:46;132;5.2251820321317926;122;;
2025-07-02 22:42:16;132;5.2251820321317926;122;;
2025-07-02 22:42:46;132;5.2251820321317926;122;;
2025-07-02 22:43:16;132;5.2251820321317926;122;;
2025-07-02 22:43:46;132;5.2251820321317926;122;;
2025-07-02 22:44:16;132;5.2251820321317926;122;;
2025-07-02 22:44:46;131.52;5.178900035574524;122;;
2025-07-02 22:45:16;130.14;5.047326999385341;122;;
2025-07-02 22:45:46;129.75;5.0105413098362614;122;;
2025-07-02 22:46:16;130;5.034101772391747;122;;
2025-07-02 22:46:46;129.77;5.012423506405697;122;;
2025-07-02 22:47:16;130.27;5.059627756972978;122;;
2025-07-02 22:47:46;130;5.034101772391747;122;;
2025-07-02 22:48:16;129.63;4.999257765401406;122;;
2025-07-02 22:48:46;130;5.034101772391747;122;;
2025-07-02 22:49:16;129.94;5.0284407150882675;122;;
2025-07-02 22:49:47;131;5.12906320103077;122;;
2025-07-02 22:50:17;131.07;5.13575375149092;122;;
2025-07-02 22:50:47;131.02;5.130974208055671;122;;
2025-07-02 22:51:17;131.13;5.141493024992313;122;;
2025-07-02 22:51:47;131.03;5.131929885198133;122;;
2025-07-02 22:52:17;131;5.12906320103077;122;;
2025-07-02 22:52:47;131;5.12906320103077;122;;
2025-07-02 22:53:17;131.08;5.136710007535461;122;;
2025-07-02 22:53:47;131.02;5.130974208055671;122;;
2025-07-02 22:54:17;131.52;5.178900035574524;122;;
2025-07-02 22:54:47;131.53;5.179861510883617;122;;
2025-07-02 22:55:17;131;5.12906320103077;122;;
2025-07-02 22:55:47;131;5.12906320103077;122;;
